,maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,make_date,length_of_back,upper_bouts,middle_bouts,lower_bouts,authentication_score,condition,notoriety_score
0,2919,"Achner, Michael",Violin,Wallgau,Tarisio,2010-02-20,354,4200.0,2721.0,3107.0,usd,20819,1770.0,35.6,,,,3,2.0,0.0
1,2611,"Achner, Philip",Violin,Mittenwald,Tarisio,2018-05-17,123,24000.0,17759.0,20330.0,usd,84148,1783.0,35.8,,,,3,2.0,0.0
2,890,"Acoulon, Alexandre Alfred",Violin,,Tarisio,2019-11-08,118,2950.0,2301.0,2675.0,,89068,1922.0,35.6,16.5,11.1,20.4,3,2.0,0.0
3,890,"Acoulon, Alexandre Alfred",Violin,Paris,Tarisio,2013-10-16,202,3000.0,1871.0,2212.0,usd,64956,1911.0,35.4,,,,3,2.0,0.0
4,890,"Acoulon, Alexandre Alfred",Violin,Mirecourt,Tarisio,2007-10-25,191,4388.0,2142.0,3067.0,usd,13763,1900.0,35.9,,,,2,3.0,0.0
5,2260,"Adamsen, Peter Petersen",Violin,Copenhagen,Tarisio,2017-06-27,121,3767.0,2950.0,3337.0,gbp,75071,1885.0,36.2,17.0,11.6,20.9,3,2.0,0.0
6,2260,"Adamsen, Peter Petersen",Viola,,Tarisio,2015-02-20,80,2714.0,1759.0,2383.0,,68883,1900.0,38.5,,,,3,2.0,0.0
7,2260,"Adamsen, Peter Petersen",Cello,Copenhagen,Tarisio,2013-06-26,24,18426.0,12000.0,14148.0,gbp,64736,1891.0,77.0,,,,3,2.0,0.0
8,2805,"Aerts, Marcel",Viola,"Los Angeles, CA",Tarisio,2016-02-26,34,3540.0,2533.0,3216.0,usd,74326,1948.0,42.8,19.5,13.0,24.0,3,2.0,0.0
9,2262,"Aerts, Rene",Violin,Brussels,Tarisio,2012-04-27,227,3900.0,2404.0,2948.0,usd,32229,1928.0,35.8,16.8,11.2,20.7,3,2.0,0.0
10,15467,"Aerts, René & Marcel",Violin,Brussels,,2023-11-17,,7200.0,5798.0,6624.0,,108620,1928.0,35.8,16.8,11.3,20.6,4,2.0,0.0
11,2665,"Agostinelli, Luigi",Violin,Milan,Tarisio,2019-11-08,134,4130.0,3222.0,3745.0,usd,83357,1967.0,35.6,16.9,11.2,21.0,4,2.0,0.0
12,2665,"Agostinelli, Luigi",Violin,Milan,Tarisio,2018-06-25,124,3603.0,2714.0,3085.0,gbp,83357,1967.0,35.6,16.9,11.2,21.0,4,2.0,0.0
13,2665,"Agostinelli, Luigi",Violin,Turin,Tarisio,2017-10-23,137,5934.0,4500.0,5051.0,gbp,78487,1953.0,35.7,16.7,11.4,21.1,4,2.0,0.0
14,2665,"Agostinelli, Luigi",Viola,Milan,Tarisio,2012-10-29,57,8180.0,5100.0,6311.0,,33426,1954.0,42.0,,,,4,2.0,0.0
15,3,"Albanelli, Franco",Violin,Bologna,,2024-10-29,,9344.0,7200.0,8673.0,,124286,1998.0,35.6,17.0,11.5,20.9,5,2.0,0.0
16,3,"Albanelli, Franco",Violin,Bologna,Tarisio,2021-10-26,105,7664.0,5554.0,6600.0,eur,98495,1998.0,35.8,,,,5,2.0,0.0
17,3,"Albanelli, Franco",Violin,Bologna,Tarisio,2020-03-24,211,10358.0,8850.0,9604.0,gbp,90900,1968.0,35.7,16.8,11.2,20.8,3,2.0,0.0
18,3,"Albanelli, Franco",Violin,Bologna,Ingles & Hayday,2019-10-19,4,7789.0,6000.0,6973.0,gbp,78503,1997.0,35.8,16.9,11.4,20.9,5,2.0,0.0
19,3,"Albanelli, Franco",Violin,Bologna,Tarisio,2019-05-17,171,12000.0,9410.0,10739.0,usd,84601,1985.0,35.7,16.9,11.4,20.9,2,2.0,0.0
